Name,Location, State,Tuition and fees,Undergrad Enrollment,Rank
Duquesne University,Pittsburgh, PA,35062,5961,124
Howard University,Washington, DC,24908,6883,124
University of Arizona,Tucson, AZ,30025,33732,124
Arizona State University--Tempe,Tempe, AZ,25458,41828,129
Clarkson University,Potsdam, NY,46132,3257,129
Colorado State University,Fort Collins, CO,28374,24433,129
New School,New York, NY,45535,6792,129
Hofstra University,Hempstead, NY,42160,6824,133
University of Kentucky,Lexington, KY,26334,22705,133
Kansas State University,Manhattan, KS,23429,19859,135
Louisiana State University--Baton Rouge,Baton Rouge, LA,27005,26156,135
Mercer University,Macon, GA,35130,4667,135
New Jersey Institute of Technology,Newark, NJ,30326,8008,135
Rutgers University--Newark,Newark, NJ,29480,7713,135
University of Arkansas,Fayetteville, AR,23168,22159,135
University of Cincinnati,Cincinnati, OH,26334,25054,135
University of Mississippi,University, MS,22012,18785,135
George Mason University,Fairfax, VA,32582,23062,143
Oregon State University,Corvallis, OR,28846,24612,143
Washington State University,Pullman, WA,25673,24470,143
Adelphi University,Garden City, NY,34034,4852,146
Ohio University,Athens, OH,21208,23513,146
San Diego State University,San Diego, CA,18244,29234,146
St. John Fisher College,Rochester, NY,31880,2805,146
University at Albany--SUNY,Albany, NY,22244,12908,146
University of Texas--Dallas,Richardson, TX,33654,15575,146
Illinois State University,Normal, IL,20886,18426,152
Immaculata University,Immaculata, PA,35210,1790,152
Oklahoma State University,Stillwater, OK,20978,21046,152
University of California--Merced,Merced, CA,39944,6237,152
University of Illinois--Chicago,Chicago, IL,26526,17575,152
University of La Verne,La Verne, CA,39900,2864,152
University of Massachusetts--Lowell,Lowell, MA,29125,13266,152
Seattle Pacific University,Seattle, WA,38940,3202,159
University of Alabama--Birmingham,Birmingham, AL,17654,11511,159
University of Maryland--Baltimore County,Baltimore, MD,24492,11243,159
University of Rhode Island,Kingston, RI,28852,13641,159
University of South Florida,Tampa, FL,17325,31111,159
Biola University,La Mirada, CA,36696,4225,164
Maryville University of St. Louis,St Louis, MO,27958,2795,164
Missouri University of Science & Technology,Rolla, MO,26152,6841,164
St. John's University,Queens, NY,39460,16210,164
Virginia Commonwealth University,Richmond, VA,31608,24051,164
Union University,Jackson, TN,30420,2829,169
University of Hawaii--Manoa,Honolulu, HI,33764,13689,169
Edgewood College,Madison, WI,27530,1813,171
Florida Institute of Technology,Melbourne, FL,40446,3586,171
University of Idaho,Moscow, ID,22040,9116,171
University of Louisville,Louisville, KY,24626,15769,171
University of Wyoming,Laramie, WY,16215,10045,171
Ball State University,Muncie, IN,25428,16602,176
Lipscomb University,Nashville, TN,29756,3030,176
Mississippi State University,Mississippi State, MS,20142,17421,176
Montclair State University,Montclair, NJ,20318,16336,176
Texas Tech University,Lubbock, TX,22861,29237,176
University of Central Florida,Orlando, FL,22467,54513,176
University of New Mexico,Albuquerque, NM,21302,20522,176
Andrews University,Berrien Springs, MI,27684,1733,183
Azusa Pacific University,Azusa, CA,36120,5883,183
University of Maine,Orono, ME,29498,9297,183
West Virginia University,Morgantown, WV,21432,22498,183
Widener University,Chester, PA,42870,3554,183
Kent State University,Kent, OH,18376,23607,188
North Dakota State University,Fargo, ND,19790,12037,188
Pace University,New York, NY,42772,8747,188
Robert Morris University,Moon Township, PA,28250,4497,188
Suffolk University,Boston, MA,35578,5565,188
University of Hartford,West Hartford, CT,37790,5246,188
Bowling Green State University,Bowling Green, OH,18332,14334,194
University of Houston,Houston, TX,25410,34716,194
